categoria|status|monto|nog|nit_proveedor|nit_comprador|descripcion|fecha_publicada|modalidad_compra|tipo_ofertas|fecha_presentacion_ofertas|nombre_comprador|unidades|fecha_adjudicada|fecha_cierre_ofertas
1. Papelería y artículos de librería~2. Otros tipos de bienes o servicios|Terminado adjudicado|Q12,500.00|4869885|1217243K|2551179|120,000 SOBRES DE PAPEL BOND 80 GRAMOS, CON VENTANA TAMAÑO OFICIO Y 500 MILLARES DE ETIQUETAS DE PAPEL TÉRMICO PARA CODIFICACIÓN DE 2.5  X 1.25 PULGADAS BLANCO (EN ROLLOS)|12.mayo.2016 Hora:4:46:44 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|18.mayo.2016 Hora:4:10:00 p. m.|FACULTAD DE CIENCIAS QUIMICAS Y FARMACIA|2|02.junio.2016 Hora:12:09:41 p. m.|18.mayo.2016 Hora:4:40:00 p. m.
1. Papelería y artículos de librería~2. Otros tipos de bienes o servicios|Terminado adjudicado|Q11,832.00|4869885|1251800K|2551179|120,000 SOBRES DE PAPEL BOND 80 GRAMOS, CON VENTANA TAMAÑO OFICIO Y 500 MILLARES DE ETIQUETAS DE PAPEL TÉRMICO PARA CODIFICACIÓN DE 2.5  X 1.25 PULGADAS BLANCO (EN ROLLOS)|12.mayo.2016 Hora:4:46:44 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|18.mayo.2016 Hora:4:10:00 p. m.|FACULTAD DE CIENCIAS QUIMICAS Y FARMACIA|2|02.junio.2016 Hora:12:09:41 p. m.|18.mayo.2016 Hora:4:40:00 p. m.
Limpieza, fumigación y artículos afines|Terminado adjudicado|Q83,432.50|4934962|37853295|3225399|Compra de cloro y creolina para uso en establecimientos educativos a cargo de la DIDEDUC Guatemala Occidente. Contacto Shaira Juaguery 59515546|26.mayo.2016 Hora:4:30:19 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|30.mayo.2016 Hora:8:00:00 a. m.|DIRECCIÓN DEPARTAMENTAL DE EDUCACIÓN DE GUATEMALA OCCIDENTE|2|02.junio.2016 Hora:6:47:34 p. m.|30.mayo.2016 Hora:8:30:00 a. m.
Alimentos y semillas|Terminado adjudicado|Q29,937.60|4949560|3306224|2360837|3360 UNIDADES DE CERVEZA PREMIUN EN BOTELLA|30.mayo.2016 Hora:4:51:20 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|02.junio.2016 Hora:8:00:00 a. m.|PARQUE DE DIVERSIONES XETULUL|1|02.junio.2016 Hora:12:01:37 p. m.|02.junio.2016 Hora:8:30:00 a. m.
Otros tipos de bienes o servicios|Terminado adjudicado|Q45,900.00|4923650|8279101|4623479|MEJORAMIENTO SISTEMA DE ALCANTARILLADO SANITARIO LA PRIMERA AVENIDA Y SEGUNDA CALLE Y SEGUNDA AVENIDA ZONA SIETE HUEHUETENANGO, HUEHUETENANGO.|27.mayo.2016 Hora:9:40:51 a. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|31.mayo.2016 Hora:10:00:00 a. m.|DIRECCIÓN MUNICIPAL DE PLANIFICACIÓN|1|02.junio.2016 Hora:9:55:06 a. m.|31.mayo.2016 Hora:10:30:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q54,200.00|4907345|44518544|2318024|TARJETA GEL COOMBS POLIESPECIFICO|20.mayo.2016 Hora:11:01:57 a. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|24.mayo.2016 Hora:10:00:00 a. m.|HOSPITAL GENERAL SAN JUAN DE DIOS|2|02.junio.2016 Hora:3:17:52 p. m.|24.mayo.2016 Hora:10:30:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q1,875.00|4845323|5801338|2342855|"CODIGO 7171 SISTEMA CERRADO DE ASPIRACIÓN DE TUBO ENDOTRAQUEAL 14 FR,  SET  CONSISTENTE EN : ADAPTADOR EN ""T"" A  TUBO ENDOTRAQUEAL, CATÉTER DE ASPIRACIÓN NUMERADO Y COBERTOR TRANSPARENTE, VÁLVULA DE"|07.mayo.2016 Hora:11:35:54 a. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|13.mayo.2016 Hora:8:00:00 a. m.|HOSPITAL DE ESCUINTLA|1|02.junio.2016 Hora:3:08:33 p. m.|13.mayo.2016 Hora:8:30:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q35,114.54|4949404|320811|2342855|CLOPIDROGEL, TABLETA 75 MG.|30.mayo.2016 Hora:2:42:25 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|02.junio.2016 Hora:8:30:00 a. m.|CONSULTORIO JALAPA, JALAPA|1|02.junio.2016 Hora:11:55:55 a. m.|02.junio.2016 Hora:9:00:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q89,995.02|4940830|22345388|2342855|EVENTO 2799/2016 LOPINAVIR/RITONAVIR TABLETA O COMPRIMIDO 200MG/50MG|27.mayo.2016 Hora:1:13:26 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|31.mayo.2016 Hora:8:00:00 a. m.|HOSPITAL GENERAL DE ENFERMEDADES|1|02.junio.2016 Hora:10:54:12 a. m.|31.mayo.2016 Hora:8:30:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q7,633.93|4900944|1700510|2342855|COD 12555 ACIDO URICO REACTIVO PARA LA DETERMINACION DE PRUEBA CANT 3,000 PEDIDIO 322/2016|20.mayo.2016 Hora:3:19:51 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|24.mayo.2016 Hora:8:00:00 a. m.|UNIDAD PERIFERICA ZONA 11|1|02.junio.2016 Hora:10:00:10 a. m.|24.mayo.2016 Hora:8:30:00 a. m.
1. Salud e insumos hospitalarios~2. Otros tipos de bienes o servicios|Terminado adjudicado|Q5,750.00|4950828|1701282|637672K|ADQUISICIÓN DE TABLETAS DE DEXKETOPROFENO|30.mayo.2016 Hora:3:46:43 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|01.junio.2016 Hora:10:00:00 a. m.|CONTRALORIA GENERAL DE CUENTAS|1|02.junio.2016 Hora:3:01:48 p. m.|01.junio.2016 Hora:10:30:00 a. m.
1. Salud e insumos hospitalarios~2. Otros tipos de bienes o servicios|Terminado adjudicado|Q88,110.00|4935101|44518544|2318024|COMPRA DE TARJETAS PARA RASTREO DE ANTICUERPOS IRREGULARES DONANTES PARA EL HOSPITAL REGIONAL DE EL QUICHÉ.|27.mayo.2016 Hora:4:48:34 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|02.junio.2016 Hora:8:00:00 a. m.|HOSPITAL REGIONAL DE EL QUICHÉ|1|02.junio.2016 Hora:9:30:45 a. m.|02.junio.2016 Hora:8:30:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q88,776.79|4941144|7477279|2342855|EVENTO 2805/2016 INMUNOGLOBULINA HUMANA SOLUCION INYECTABLE 1 G FRASCO DE 20 ML|27.mayo.2016 Hora:1:15:34 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|31.mayo.2016 Hora:8:00:00 a. m.|HOSPITAL GENERAL DE ENFERMEDADES|1|02.junio.2016 Hora:10:44:20 a. m.|31.mayo.2016 Hora:8:30:00 a. m.
Otros tipos de bienes o servicios|Terminado adjudicado|Q57,750.00|4952995|12511862|2318024|ARRENDAMIENTO DE VENTILADORES MECANICOS PULMONARRES PEDIATRICOS|31.mayo.2016 Hora:11:18:53 a. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|02.junio.2016 Hora:9:00:00 a. m.|HOSPITAL DE CUILAPA|1|02.junio.2016 Hora:2:35:36 p. m.|02.junio.2016 Hora:9:30:00 a. m.
Otros tipos de bienes o servicios|Terminado adjudicado|Q558,626.40|4728297|33879966|3440915|MANTENIMIENTO RUTINARIO DE LIMPIEZA DEL DERECHO DE VÍA, CUNETAS Y ESTRUCTURAS DE DRENAJE DE LA RED VIAL L-091-2016|21.abril.2016 Hora:5:48:38 p. m.|Cotización (Art. 38 LCE)|Sólo en papel.|04.mayo.2016 Hora:11:00:00 a. m.|UNIDAD EJECUTORA DE CONSERVACION VIAL|1|02.junio.2016 Hora:12:18:51 p. m.|04.mayo.2016 Hora:11:30:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q1,470.00|4770188|35460180|2342855|MATERIAL DE OSTEOSINTESIS PARA EL PACIENTE JORGE LUIS REYES, AFILIACION 201500845773, FECHA DE OPERACION 28/04/2016, SOLICITA DR. JORGE LUIS GARCIA|19.abril.2016 Hora:9:56:25 a. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|21.abril.2016 Hora:8:00:00 a. m.|HOSPITAL DE ESCUINTLA|2|02.junio.2016 Hora:9:39:12 a. m.|21.abril.2016 Hora:8:30:00 a. m.
Otros tipos de bienes o servicios|Terminado adjudicado|Q36,900.00|4939654|76464482|19602227|TINTAS Y TONER|27.mayo.2016 Hora:9:59:55 a. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|31.mayo.2016 Hora:9:00:00 a. m.|SUBDIRECCION DE VALUACION INMOBILIARIA MUNICIPAL (SVIM)|18|02.junio.2016 Hora:10:52:18 a. m.|31.mayo.2016 Hora:9:30:00 a. m.
1. Salud e insumos hospitalarios~2. Otros tipos de bienes o servicios|Terminado adjudicado|Q79,200.00|4903285|28808606|2318024|ADQUISICION DE  JERINGA Y EQUIPO PARA INFUSORES DE PRECISION PARA ADMINISTRACION PARENTERAL DE MEDICAMENTOS. MSPAS No. 2016-ROO-CD-1466|19.mayo.2016 Hora:2:40:19 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|23.mayo.2016 Hora:8:30:00 a. m.|HOSPITAL ROOSEVELT|1|02.junio.2016 Hora:2:47:06 p. m.|23.mayo.2016 Hora:9:00:00 a. m.
1. Salud e insumos hospitalarios~2. Otros tipos de bienes o servicios|Terminado adjudicado|Q45,950.89|4767055|67309704|2342855|LIRAGLUTIDE SOLUCIÓN INYECTABLE 6 MG/ML EN DISPOSITIVO PRELLENADO 3 ML. SEGÚN SIAF 940/2016, CÓDIGO IGSS 10578.|18.abril.2016 Hora:2:24:57 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|25.abril.2016 Hora:11:00:00 a. m.|CONSULTORIO VILLA NUEVA, GUATEMALA|1|02.junio.2016 Hora:9:24:05 a. m.|25.abril.2016 Hora:11:30:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q27,147.84|4934180|30428378|2342855|NITRÓGENO DE UREA REACTIVO PARA ANALISIS DE. UNIDAD. PRUEBA.|26.mayo.2016 Hora:11:45:29 a. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|30.mayo.2016 Hora:8:00:00 a. m.|HOSPITAL DE MAZATENANGO|1|02.junio.2016 Hora:11:43:11 a. m.|30.mayo.2016 Hora:8:30:00 a. m.
Seguridad y armamento|Terminado adjudicado|Q87,500.00|4945719|30114233|974250|CONTRATACIÓN DE SERVICIOS DE SEGURIDAD Y VIGILANCIA POR EL PERIODO DE UN MES COMPRENDIDO DEL 16 DE JUNIO AL 15 DE JULIO DE 2016.|30.mayo.2016 Hora:9:04:07 a. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|01.junio.2016 Hora:9:30:00 a. m.|COMPRAS UDAF -INFOM|1|02.junio.2016 Hora:2:09:58 p. m.|01.junio.2016 Hora:10:00:00 a. m.
1. Limpieza, fumigación y artículos afines~2. Otros tipos de bienes o servicios|Terminado adjudicado|Q9,500.00|4922794|70512191|3377725|DESHUMIFICADOR|24.mayo.2016 Hora:2:42:07 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|27.mayo.2016 Hora:8:00:00 a. m.|DEPARTAMENTO DE ADQUISICIONES DE BIENES Y SERVICIOS|1|02.junio.2016 Hora:2:56:10 p. m.|27.mayo.2016 Hora:8:30:00 a. m.
Construcción y materiales afines|Terminado adjudicado|Q875,000.00|4857410|68632622|4273109|"Mejoramiento Calle 3a. Avenida entre 1a. Avenida y 2a. Avenida y 4a. Calle ""B"", entre 3a. Avenida y 2a. Avenida ""A"", Colonia San Antonio Zona 2, Retalhuleu."|18.mayo.2016 Hora:4:31:20 p. m.|Cotización (Art. 38 LCE)|Sólo en papel.|01.junio.2016 Hora:10:30:00 a. m.|UNIDAD DE COMPRAS|1|02.junio.2016 Hora:5:07:59 p. m.|01.junio.2016 Hora:11:00:00 a. m.
Construcción y materiales afines|Terminado adjudicado|Q12,913.00|4935462|36637238|3441024|COMPRA DE MATERIALES PARA USO DE LOS PROYECTOS DE LA REGENCIA NORTE|26.mayo.2016 Hora:3:29:29 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|30.mayo.2016 Hora:11:00:00 a. m.|REGENCIA NORTE|8|02.junio.2016 Hora:1:18:20 p. m.|30.mayo.2016 Hora:11:30:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q44,850.00|4940539|4321995|2342855|Servicio de Urología para pacientes de la UIA  Chimaltenango|27.mayo.2016 Hora:10:12:30 a. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|31.mayo.2016 Hora:11:30:00 a. m.|HOSPITAL CHIMALTENANGO, CHIMALTENANGO|1|02.junio.2016 Hora:12:49:53 p. m.|31.mayo.2016 Hora:12:00:00 p. m.
Alimentos y semillas|Terminado adjudicado|Q52,560.00|4949366|3306224|2360837|80 UNIDADES DE CERVEZA DE BARRIL CLARA|30.mayo.2016 Hora:4:57:40 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|02.junio.2016 Hora:8:00:00 a. m.|PARQUE DE DIVERSIONES XETULUL|1|02.junio.2016 Hora:11:52:12 a. m.|02.junio.2016 Hora:8:30:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q63,750.00|4935217|1700510|2342855|VIRUS IINMUNODEFICIENCIA HUMANA  ANTÍGENO-ANTICUERPOS, REACTIVO PARA LA DETERMINACIÓN. PRUEBA|26.mayo.2016 Hora:11:21:20 a. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|30.mayo.2016 Hora:8:00:00 a. m.|HOSPITAL DE MAZATENANGO|1|02.junio.2016 Hora:11:38:45 a. m.|30.mayo.2016 Hora:8:30:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q42,000.00|4954122|7151667|2318024|ADQUISICIÓN DE OFLOXACINA CLORHIDRATO VIAL DE 400 MG, PIPERACILINA + TAZOBACTAM  VIAL DE 4G + 500MG Y PROPINOXATO GOTERO DE 5MG/ML, PARA USO DEL HOSPITAL DE LA AMISTAD JAPÓN GUATEMALA.|31.mayo.2016 Hora:4:21:37 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|02.junio.2016 Hora:8:00:00 a. m.|HOSPITAL DE PUERTO BARRIOS|3|02.junio.2016 Hora:4:12:04 p. m.|02.junio.2016 Hora:8:30:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q89,835.00|4513770|22345388|2342855|EVENTO No. 83 SAXAGLIPTINA CLORHIDRATO DE METFORMINA, COMPRIMIDO DE LIBERACION PROLONGADA 5 MG/1000 MG. CODIGO 10402|27.mayo.2016 Hora:11:58:13 a. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|31.mayo.2016 Hora:9:00:00 a. m.|UNIDAD ASISTENCIAL AMATITLAN, GUATEMALA|1|02.junio.2016 Hora:1:39:23 p. m.|31.mayo.2016 Hora:9:30:00 a. m.
1. Construcción y materiales afines~2. Electricidad y aire acondicionado~3. Otros tipos de bienes o servicios|Terminado adjudicado|Q19,258.93|4819284|8246084|2342855|COMPRA DIRECTA DE BOMBA PARA JACUZZIES RECIRCULACION PEDIDO 745/2016|03.mayo.2016 Hora:2:58:47 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|06.mayo.2016 Hora:2:00:00 p. m.|HOSPITAL DE REHABILITACION|1|02.junio.2016 Hora:8:52:54 a. m.|06.mayo.2016 Hora:2:30:00 p. m.
Otros tipos de bienes o servicios|Terminado adjudicado|Q499,672.80|4718240|10344489|3440915|MANTENIMIENTO RUTINARIO DE LIMPIEZA DEL DERECHO DE VÍA, CUNETAS Y ESTRUCTURAS DE DRENAJE DE LA RED VIAL L-042-2016|15.abril.2016 Hora:3:45:10 p. m.|Cotización (Art. 38 LCE)|Sólo en papel.|28.abril.2016 Hora:11:00:00 a. m.|UNIDAD EJECUTORA DE CONSERVACION VIAL|1|02.junio.2016 Hora:2:13:01 p. m.|28.abril.2016 Hora:11:30:00 a. m.
1. Salud e insumos hospitalarios~2. Otros tipos de bienes o servicios|Terminado adjudicado|Q1,425.00|4951158|78981557|637672K|ADQUISICIÓN DE TABLETAS DE LEVOCETIRIZINA|30.mayo.2016 Hora:3:57:59 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|01.junio.2016 Hora:10:00:00 a. m.|CONTRALORIA GENERAL DE CUENTAS|1|02.junio.2016 Hora:3:42:35 p. m.|01.junio.2016 Hora:10:30:00 a. m.
Construcción y materiales afines|Terminado adjudicado|Q19,200.00|4917111|91937566|2492334|ADQUISICIÓN DE MATERIALES DE CONSTRUCCIÓN PARA LA SUBDIRECCION GENERAL DE ESTUDIOS Y DOCTRINA DE LA POLICÍA NACIONAL CIVIL|24.mayo.2016 Hora:8:22:53 a. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|27.mayo.2016 Hora:10:00:00 a. m.|SUBDIRECCIÓN GENERAL DE ESTUDIOS|7|02.junio.2016 Hora:11:09:07 a. m.|27.mayo.2016 Hora:10:30:00 a. m.
1. Electricidad y aire acondicionado~2. Muebles y mobiliario de oficina|Terminado adjudicado|Q16,416.00|4909518|89286960|3377830|REFRIGERADORA DE 16 PIES S.C.20160629|23.mayo.2016 Hora:11:11:18 a. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|25.mayo.2016 Hora:11:00:00 a. m.|DEPARTAMENTO DE COMPRAS|1|02.junio.2016 Hora:10:25:34 a. m.|25.mayo.2016 Hora:11:30:00 a. m.
Transporte, repuestos y combustibles|Terminado adjudicado|Q25,368.00|4877403|78210240|3133222|ADQUISICION DE MOTORES COMPRESORES Y MOTORES VENTILADORES PARA UNIDAD CONDENSADORA Y EVAPORADORA PARA AIRES ACONDICIONADOS DE DIFERENTES BTU|17.mayo.2016 Hora:5:05:08 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|19.mayo.2016 Hora:2:00:00 p. m.|EMPRESA PORTUARIA SANTO TOMAS DE CASTILLA|12|02.junio.2016 Hora:6:56:32 p. m.|19.mayo.2016 Hora:2:30:00 p. m.
Transporte, repuestos y combustibles|Terminado adjudicado|Q24,666.00|4877403|43236782|3133222|ADQUISICION DE MOTORES COMPRESORES Y MOTORES VENTILADORES PARA UNIDAD CONDENSADORA Y EVAPORADORA PARA AIRES ACONDICIONADOS DE DIFERENTES BTU|17.mayo.2016 Hora:5:05:08 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|19.mayo.2016 Hora:2:00:00 p. m.|EMPRESA PORTUARIA SANTO TOMAS DE CASTILLA|12|02.junio.2016 Hora:6:56:32 p. m.|19.mayo.2016 Hora:2:30:00 p. m.
Transporte, repuestos y combustibles|Terminado adjudicado|Q8,220.00|4877403|72588233|3133222|ADQUISICION DE MOTORES COMPRESORES Y MOTORES VENTILADORES PARA UNIDAD CONDENSADORA Y EVAPORADORA PARA AIRES ACONDICIONADOS DE DIFERENTES BTU|17.mayo.2016 Hora:5:05:08 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|19.mayo.2016 Hora:2:00:00 p. m.|EMPRESA PORTUARIA SANTO TOMAS DE CASTILLA|12|02.junio.2016 Hora:6:56:32 p. m.|19.mayo.2016 Hora:2:30:00 p. m.
Construcción y materiales afines|Terminado adjudicado|Q29,835.24|4945905|36637238|5613019|"""ADQUISICIÓN DE TUBERIA DE CONCRETO REFORZADA PARA TRANSVERSALES EN DISTINTAS COMUNIDADES DEL MUNICIPIO DE PALENCIA"""|30.mayo.2016 Hora:9:07:18 a. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|01.junio.2016 Hora:9:00:00 a. m.|DEPARTAMENTO DE COMPRAS|1|02.junio.2016 Hora:11:54:20 a. m.|01.junio.2016 Hora:9:30:00 a. m.
Otros tipos de bienes o servicios|Terminado adjudicado|Q25,200.00|4950798|52879100|3441024|SERVICIO DE PROTOCOLO DE 900 ALMUERZOS PARA LA ACTIVIDAD DEL DIA DEL MAESTRO QUE OFRECERA LA REGENCIA NORTE.|30.mayo.2016 Hora:3:44:03 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|01.junio.2016 Hora:9:00:00 a. m.|REGENCIA NORTE|1|02.junio.2016 Hora:3:18:40 p. m.|01.junio.2016 Hora:9:30:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q79,000.00|4950410|22339655|2318024|ADQUISICIÓN DE ANTIOFIDICO POLIVALENTE VIAL DE 10 ML, PARA USO DEL HOSPITAL DE LA AMISTAD JAPÓN GUATEMALA|30.mayo.2016 Hora:4:14:40 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|01.junio.2016 Hora:8:00:00 a. m.|HOSPITAL DE PUERTO BARRIOS|1|02.junio.2016 Hora:3:53:23 p. m.|01.junio.2016 Hora:8:30:00 a. m.
1. Alimentos y semillas~2. Computación y telecomunicaciones~3. Construcción y materiales afines~4. Electricidad y aire acondicionado~5. Limpieza, fumigación y artículos afines~6. Muebles y mobiliario de oficina~7. Papelería y artículos de librería~8. Publicidad, campañas y vallas~9. Salud e insumos hospitalarios~10. Seguridad y armamento~11. Seguros, fianzas y servicios bancarios~12. Textiles, ropa y calzado~13. Transporte, repuestos y combustibles~14. Otros tipos de bienes o servicios|Terminado adjudicado|Q38,063.40|4886186|30856302|2551179|1 CENTRIFUGA DE MESA, MARCA RECONOCIDO PRESTIGIO INTERNACIONAL  Y 1 BAÑO  DE MARÍA PARA INCUBACIÓN 25°-60° y vel +/-1°C ver mas información en solicitud de compra 105|17.mayo.2016 Hora:3:15:06 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|20.mayo.2016 Hora:8:00:00 a. m.|FACULTAD DE CIENCIAS QUIMICAS Y FARMACIA|2|02.junio.2016 Hora:4:02:12 p. m.|20.mayo.2016 Hora:8:30:00 a. m.
1. Computación y telecomunicaciones~2. Papelería y artículos de librería~3. Otros tipos de bienes o servicios|Terminado adjudicado|Q24,143.00|4944062|69913811|6539564|COMPRA DE TONER Y CARTUCHOS PARA USO DE LAS OFICINAS DE LA MUNICIPALIDAD DE SAN JOSE PINULA|30.mayo.2016 Hora:3:34:10 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|01.junio.2016 Hora:8:00:00 a. m.|DEPARTAMENTO DE COMPRAS|6|02.junio.2016 Hora:4:03:00 p. m.|01.junio.2016 Hora:8:30:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q1,056.25|4887298|320811|2342855|"COD.  6314  VENDO DE YESO DE 6"" X 4 A 5 YDS, DE FRAGUADO RAPIDO. VENDAS CUBIERTAS UNIFORMEMENTE POR CAPAS POROSAS DE YESO CALCINADO (CASO4 1/2 H20), EMPAQUE INDIVIDUAL, HERMETICO  CAN 50 PED  244/2016"|20.mayo.2016 Hora:3:50:30 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|24.mayo.2016 Hora:8:00:00 a. m.|UNIDAD PERIFERICA ZONA 11|1|02.junio.2016 Hora:10:07:13 a. m.|24.mayo.2016 Hora:8:30:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q89,919.64|4918576|60496355|2342855|LISTADO No. 2444-2016 (TENOFOVIR TABLETA 300 MG)|23.mayo.2016 Hora:4:07:42 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|26.mayo.2016 Hora:8:00:00 a. m.|UNIDAD DE CONSULTA EXTERNA DE ENFERMEDADES|1|02.junio.2016 Hora:9:41:03 a. m.|26.mayo.2016 Hora:8:30:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q75,000.00|4950771|26952394|2318024|ADQUISICIÓN DE ANTITOXINA TETÁNICA VIAL DE 3000 U.I, PARA USO DEL HOSPITAL DE LA AMISTAD JAPÓN GUATEMALA.|30.mayo.2016 Hora:4:24:42 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|01.junio.2016 Hora:8:00:00 a. m.|HOSPITAL DE PUERTO BARRIOS|1|02.junio.2016 Hora:4:02:58 p. m.|01.junio.2016 Hora:8:30:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q77,168.00|4957377|77190513|2318024|COMPRA DE MIDAZOLAM AMPOLLA PARA HOSPITAL REGIONAL DE OCCIDENTE|31.mayo.2016 Hora:3:59:49 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|02.junio.2016 Hora:8:00:00 a. m.|HOSPITAL REGIONAL DE OCCIDENTE QUETZALTENANGO|1|02.junio.2016 Hora:3:20:33 p. m.|02.junio.2016 Hora:8:30:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q22,312.50|4920783|1700510|2342855|TOXOPLASMA IGG, REACTIVO PARA LA DETERMINACIÓN DE. UNIDAD PRUEBA|24.mayo.2016 Hora:9:11:23 a. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|26.mayo.2016 Hora:8:00:00 a. m.|HOSPITAL DE MAZATENANGO|1|02.junio.2016 Hora:12:50:12 p. m.|26.mayo.2016 Hora:8:30:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q47,375.00|4917618|7477279|2342855|EVENTO 741-16, CODIGO 1009|23.mayo.2016 Hora:3:41:02 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|25.mayo.2016 Hora:9:00:00 a. m.|HOSPITAL DR. JUAN JOSE AREVALO BERMEJO|1|02.junio.2016 Hora:5:42:09 p. m.|25.mayo.2016 Hora:9:30:00 a. m.
